1,Rome,48,Colosseum,3,English,https://cdn.britannica.com/02/179502-138-AE3BE74C/effects-construction-Rome-Colosseum.jpg,€ 28.72
2,Wien,48,Schönbrunn Palace,2,English,https://www.wien-tipps.de/wp-content/uploads/2018/08/wientipps-schloss-schoenbrunn.jpg,€ 42
3,Barcelona,48,Sagrada Familia,2,English,https://www.airtecnics.com/media/6363/Sagrada-Familia-in-Barcelona.jpg,€ 70
4,Paris,48,Louvre Museum,3,English,https://www.bautrip.com/images/what-to-visit/louvre-museum-paris.jpg,€ 30
5,Instanbul,48,Blue Mosque & Hagia Sophia,4,English,https://www.culturalplaces.com/blog/wp-content/uploads/2020/06/istanbul-blue-mosque.jpeg,€ 45
6,Dubai,48,Old Town,6, English,https://jotunimages.azureedge.net/images/images/Burj_Dubai_Old_Town_1_tcm275-18751.jpg,€ 150
7,Budapest,48,The Great Synagogue,4,English,https://media.timeout.com/images/105266211/750/422/image.jpg,€ 75
8,New York,1week,Central Park,2,English,https://images.adsttc.com/media/images/61ee/69bd/3e4b/3150/2f00/006d/newsletter/Harry_Gillen_via_Unsplash.jpg?1643014578,€ 190
9,Amsterdam,48,Van Gogh Museum,2,English,https://media.architecturaldigest.com/photos/55f9e2604254f7de34560325/2:1/w_444h_222c_limit/dam-images-daily-2015-09-van-gogh-museum-van-gogh-museum-entrance-01.jpg, € 90
10,London,48,St Paula's Cathedral,2,English,https://keyassets.timeincuk.net/inspirewp/live/wp-content/uploads/sites/8/2021/06/ig2CLI311.cover_.B6E7HC.jpg,€ 85
